City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
423,Lorengau,PG,83.28,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
424,Port Augusta,AU,78.8,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
433,Palanit,PH,78.69,overcast clouds,12.3213,124.3434,Veriato Falls
442,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
449,Petrolina,BR,75.2,scattered clouds,-9.3986,-40.5008,JB Hotel
452,Waingapu,ID,81.7,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
457,Nhulunbuy,AU,78.8,light rain,-12.2333,136.7667,East Arnhem Real Estate
461,Pizarro,CO,75.45,light rain,4.9533,-77.366,Hotel Limonar
465,Porto Velho,BR,75.2,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
470,Tete,MZ,86.0,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
473,Matara,LK,86.04,clear sky,5.9485,80.5353,Amaloh Boutique Resort
477,Carutapera,BR,75.56,overcast clouds,-1.195,-46.02,Lidera
478,Bontang,ID,82.6,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
485,Nioro,GM,75.43,broken clouds,13.35,-15.75,
487,Pathein,MM,87.78,scattered clouds,16.7833,94.7333,Pathein Hotel
488,Bolobo,CD,78.8,overcast clouds,-2.1667,16.2333,
491,Dualing,PH,84.29,overcast clouds,7.1517,124.5683,Log Inn Hotel
496,Mubende,UG,89.58,overcast clouds,0.5606,31.39,Nakayima Hotel
502,Marzuq,YE,78.94,clear sky,14.4,46.4667,
512,Dzaoudzi,YT,87.8,broken clouds,-12.7887,45.2699,Le Rocher
515,Bowen,AU,82.4,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
519,Keningau,MY,82.4,moderate rain,5.3378,116.1602,Sabindo Hotel
528,Kismayo,SO,82.67,clear sky,-0.3582,42.5454,Agan-Hotel
531,Luba,GQ,86.0,few clouds,3.4568,8.5547,
541,Waraseoni,IN,83.48,clear sky,21.75,80.0333,Thakre Bhavan
545,Malakal,SS,89.94,overcast clouds,9.5334,31.6605,Nile Palace Hotel
546,Dutlwe,BW,83.14,scattered clouds,-23.9833,23.9,
548,Bhag,PK,76.06,clear sky,29.0415,67.8239,Bukhari hotl
549,Gitarama,RW,75.2,light rain,-2.0744,29.7567,Muhanga in Cyakabiri Motel
552,Bata,GQ,78.8,few clouds,1.8639,9.7658,Hotel Carmen
556,Tarapur,IN,80.8,clear sky,19.85,72.7,Vasantshrushti Farm
558,Namatanai,PG,81.07,overcast clouds,-3.6667,152.4333,Namatanai Hotel
562,Ouadda,CF,89.78,few clouds,8.0777,22.4007,
563,Mangrol,IN,81.09,clear sky,21.1167,70.1167,Hotel The Royal Honours
566,Hervey Bay,AU,82.4,clear sky,-25.2986,152.8535,Shelly Bay Resort
572,Surigao,PH,80.17,overcast clouds,9.7839,125.4889,Almont Beach Resort
576,Tarakan,ID,86.0,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
580,Yaring,TH,82.4,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
584,Bonthe,SL,79.21,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
585,Kishi,NG,83.86,few clouds,9.0833,3.85,AMARC GUEST HOUSE
586,Wad Madani,SD,84.33,clear sky,14.4012,33.5199,فندق يوغسلافيا
587,Broken Hill,AU,87.8,broken clouds,-31.95,141.4333,Royal Exchange Hotel
589,Luanda,AO,84.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
591,Yenagoa,NG,85.91,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
592,Madang,PG,80.2,light rain,-5.2246,145.7966,Comfort Inn Hotel
601,Cravo Norte,CO,76.69,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
604,Poya,NC,76.55,overcast clouds,-21.35,165.15,
607,Katherine,AU,82.4,overcast clouds,-14.4667,132.2667,Pine Tree Motel
612,Formosa,AR,75.2,moderate rain,-26.1775,-58.1781,Asterión Hotel
615,Tiparak,PH,82.08,overcast clouds,8.0341,123.5288,campo v ramon magsaysay zambo. sur
616,Veraval,IN,81.03,clear sky,20.9,70.3667,Lords Inn Somnath
619,Nelson Bay,AU,75.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
622,Potiskum,NG,78.46,few clouds,11.7091,11.0694,Tamir Hotel Ltd
638,Nakambala,ZM,80.15,scattered clouds,-15.8324,27.7799,Staff Area
647,Kaduna,NG,78.53,clear sky,10.5222,7.4383,HAMDALA HOTEL
650,Chiredzi,ZW,89.46,scattered clouds,-21.05,31.6667,The Nesbitt Arms
651,Victoria Point,AU,79.0,broken clouds,-27.5833,153.3,Bay Retreat Motel
654,San Andres,CO,80.6,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
655,Malangali,TZ,75.56,light rain,-8.5667,34.85,
660,Saint-Joseph,RE,89.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
663,Miri,MY,86.0,light rain,4.4148,114.0089,"Mega Hotel, Miri"
669,Vaitape,PF,82.02,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
672,Kon Tum,VN,79.9,few clouds,14.35,108.0,Hoa đà spa- homestay
673,Popondetta,PG,78.13,light rain,-8.7537,148.2534,Timos Transit House
674,Teahupoo,PF,78.8,clear sky,-17.8333,-149.2667,Vanira Lodge
676,Kulhudhuffushi,MV,82.2,clear sky,6.6221,73.07,Haajy Guest House 1
678,Mattru,SL,79.36,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
681,Sinnamary,GF,77.2,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
682,Padang,ID,83.86,overcast clouds,-0.9492,100.3543,Mercure Padang
684,Dorado,PR,75.0,overcast clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
686,Fayaoue,NC,79.3,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
689,Dumai,ID,89.02,overcast clouds,1.6833,101.45,Grand Zuri Dumai
694,Iquitos,PE,75.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
