City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
159,Sjovegan,NO,68.8726,17.8474,28.0,85,20,1.14,few clouds
160,Lebu,CL,-37.6167,-73.65,55.72,89,2,13.2,clear sky
161,Teonthar,IN,24.9833,81.65,72.45,22,0,4.23,clear sky
162,Castro,BR,-24.7911,-50.0119,63.68,95,97,2.73,overcast clouds
163,Russell,US,32.3502,-85.1999,37.4,56,75,12.66,broken clouds
164,Goldsboro,US,35.3849,-77.9928,33.8,80,90,5.75,overcast clouds
165,Matara,LK,5.9485,80.5353,85.05,62,26,11.83,scattered clouds
166,Portland,US,45.5234,-122.6762,48.99,81,20,16.11,few clouds
167,Malinovoye Ozero,RU,51.6753,79.7825,13.93,94,10,5.73,clear sky
168,Honningsvag,NO,70.9821,25.9704,28.4,80,75,4.61,snow
169,Fougeres,FR,48.35,-1.2,54.0,94,90,13.8,overcast clouds
170,Nanortalik,GL,60.1432,-45.2371,21.7,91,14,8.21,few clouds
171,Lagoa,PT,39.05,-27.9833,56.73,70,100,32.26,overcast clouds
172,Emerald,AU,-23.5333,148.1667,91.4,38,46,9.22,scattered clouds
173,Ballina,AU,-28.8667,153.5667,73.4,94,90,8.05,overcast clouds
174,Constitucion,CL,-35.3333,-72.4167,57.24,84,4,4.18,clear sky
175,Zheleznodorozhnyy,RU,55.7503,38.0042,12.99,85,20,3.94,fog
176,Kruisfontein,ZA,-34.0033,24.7314,60.01,92,31,4.0,scattered clouds
177,Hasaki,JP,35.7333,140.8333,59.0,72,20,3.44,few clouds
178,Olafsvik,IS,64.8945,-23.7142,34.93,82,100,10.63,overcast clouds
179,Lakeway,US,30.3638,-97.9796,45.0,49,1,3.44,clear sky
180,Andenes,NO,69.3143,16.1194,30.2,80,75,13.8,broken clouds
181,Madisonville,US,37.3281,-87.4989,32.0,59,1,8.05,clear sky
182,Soe,ID,-9.8607,124.284,77.29,83,97,9.4,light rain
183,Artyom,AZ,40.4723,50.333,48.2,87,75,23.02,broken clouds
184,Vardo,NO,70.3705,31.1107,19.4,86,20,14.97,few clouds
185,Caraquet,CA,47.7941,-64.9386,14.0,92,59,3.44,broken clouds
186,Alofi,NU,-19.0595,-169.9187,77.0,94,100,5.75,light rain
187,Hobyo,SO,5.3505,48.5268,76.44,67,81,20.76,broken clouds
188,Tocopilla,CL,-22.092,-70.1979,67.53,65,72,2.73,broken clouds
189,Yarada,IN,17.65,83.2667,80.6,57,20,3.44,haze
190,Northam,GB,51.0333,-4.2167,51.01,95,90,14.0,overcast clouds
191,Souillac,MU,-20.5167,57.5167,86.0,70,40,14.97,scattered clouds
192,Balkanabat,TM,39.5108,54.3671,49.73,60,0,10.78,clear sky
193,Bredasdorp,ZA,-34.5322,20.0403,64.4,55,0,11.5,clear sky
194,Sarangani,PH,5.4033,125.4636,83.14,65,92,3.36,overcast clouds
195,Korgen,NO,66.0771,13.8153,-2.2,84,0,5.75,clear sky
196,Ixtapa,MX,20.7,-105.2,72.0,88,90,0.98,overcast clouds
197,Tuatapere,NZ,-46.1333,167.6833,69.76,57,97,4.18,moderate rain
198,Sevlievo,BG,43.0258,25.1136,37.99,96,44,0.76,scattered clouds
199,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.28,85,94,16.31,overcast clouds
200,Ulaangom,MN,49.9811,92.0667,-5.85,89,54,2.39,broken clouds
201,Bowen,AU,-20.0167,148.2333,87.8,58,31,12.66,scattered clouds
202,Christchurch,NZ,-43.5333,172.6333,66.2,68,20,24.16,few clouds
203,Dikson,RU,73.5069,80.5464,-13.74,85,97,15.32,overcast clouds
204,Jardim,BR,-21.4803,-56.1381,74.19,92,40,4.12,scattered clouds
205,Provideniya,RU,64.3833,-173.3,4.84,92,100,24.09,snow
206,Hauterive,FR,46.0901,3.4459,50.0,76,75,5.75,broken clouds
207,Beyneu,KZ,45.3167,55.2,39.79,78,14,10.27,few clouds
208,Winslow,US,35.0242,-110.6974,42.8,61,90,4.61,overcast clouds
209,Klaksvik,FO,62.2266,-6.589,28.4,74,0,2.3,clear sky
210,Ahuimanu,US,21.4447,-157.8378,73.4,73,75,11.5,haze
211,Burnie,AU,-41.0667,145.9167,64.0,50,0,20.0,clear sky
212,Taos,US,36.4072,-105.5731,32.0,74,20,6.91,few clouds
213,Atambua,ID,-9.1061,124.8925,81.95,72,38,7.23,scattered clouds
214,Haines Junction,CA,60.7522,-137.5108,-7.6,64,100,4.61,overcast clouds
215,Srivardhan,IN,18.0333,73.0167,85.8,39,0,4.16,clear sky
216,Atar,MR,20.5169,-13.0499,66.18,23,0,7.92,clear sky
