City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Languyan,PH,2021-02-02 05:24:23,5.2618,120.0807,83.43,78,99,9.98
114,Staryy Nadym,RU,2021-02-02 05:24:23,65.6118,72.6842,9.1,95,100,13.56
115,Sainte-Marie,RE,2021-02-02 05:24:24,-20.8968,55.5496,86.0,70,20,17.27
116,Brufut,GM,2021-02-02 05:24:24,13.3814,-16.7518,69.8,73,0,8.43
117,Bredasdorp,ZA,2021-02-02 05:24:24,-34.5322,20.0403,64.4,55,0,11.5
118,Kodiak,US,2021-02-02 05:24:24,57.79,-152.4072,26.6,50,1,11.5
119,Ilulissat,GL,2021-02-02 05:24:24,69.2167,-51.1,3.2,85,90,19.57
120,Hazleton,US,2021-02-02 05:24:25,40.9584,-75.9746,24.8,86,90,8.05
121,Kukshi,IN,2021-02-02 05:24:25,22.2,74.75,75.69,18,0,8.57
122,Margate,GB,2021-02-02 05:24:25,51.3813,1.3862,44.01,91,100,4.0
123,Lokosovo,RU,2021-02-02 05:24:25,61.1333,74.8167,9.84,95,99,10.27
124,Hami,CN,2021-02-02 05:24:25,42.8,93.45,33.75,69,0,5.14
125,Warmbad,NA,2021-02-02 05:24:26,-28.45,18.7333,71.67,45,0,2.71
126,Abnub,EG,2021-02-02 05:24:26,27.2696,31.1511,46.4,71,0,5.75
127,Pataias,PT,2021-02-02 05:24:26,39.6698,-8.9958,55.99,94,75,5.75
128,Dikson,RU,2021-02-02 05:24:26,73.5069,80.5464,-13.74,85,97,15.32
129,Shimoda,JP,2021-02-02 05:24:26,34.6667,138.95,59.0,51,20,24.16
130,Upington,ZA,2021-02-02 05:24:26,-28.4478,21.2561,68.0,60,0,8.12
131,Arica,CL,2021-02-02 05:24:26,-18.475,-70.3042,69.8,64,90,1.83
132,Cayenne,GF,2021-02-02 05:24:27,4.9333,-52.3333,77.0,94,75,9.22
133,Rio Grande,BR,2021-02-02 05:24:27,-32.035,-52.0986,72.0,97,56,7.25
134,Ribeira Grande,PT,2021-02-02 05:24:27,38.5167,-28.7,57.87,66,100,30.2
135,Mogadishu,SO,2021-02-02 05:24:27,2.0371,45.3438,77.0,65,20,14.97
136,Clermont,FR,2021-02-02 05:24:27,49.5,2.4167,46.99,100,90,10.36
137,Pingdu,CN,2021-02-02 05:24:27,36.7844,119.9464,39.2,30,0,8.95
138,Suhbaatar,MN,2021-02-02 05:24:28,50.2314,106.2078,-6.47,84,98,2.55
139,Codrington,AU,2021-02-02 05:24:28,-38.2667,141.9667,61.75,60,66,12.93
140,York,US,2021-02-02 05:24:28,40.1254,-77.0,30.2,80,90,10.36
141,Talnakh,RU,2021-02-02 05:24:28,69.4865,88.3972,-14.26,87,75,7.85
